DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6070;P6081;P6081S1;P6083;P6083S1;P6071;P6071S1;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;CLASE;ESC;MES;DPTO;fex_c_2011
4650182;1;4;1;10;3;1;4;1990;28;3;3;1;1;1;2;2; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;06;19;1427,96254819069
4650183;1;1;1;10;1;1;10;1952;65;1;3;3; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;06;19;938,880078227358
4650183;1;2;1;10;2;2;6;1962;56;2;3;3; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;3;1; ; ;2;1;06;19;938,880078227358
4650183;1;3;1;10;2;1;3;1983;35;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;06;19;938,880078227358
4650184;1;1;1;10;1;1;12;1989;28;1;2;2; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;4;9; ; ;2;9;06;19;2037,52510485205
4650184;1;2;1;10;2;2;1;1983;35;2;2;2; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;06;19;2037,52510485205
4650184;1;3;1;10;2;2;12;2003;14;3;6;2; ;1;2; ; ;1; ; ;3; ; ;2;1;1;1;3;4; ; ;2;4;06;19;2037,52510485205
4650184;1;4;1;10;2;2;7;2009;8;3; ;1;1;1;2; ; ;1; ; ;3; ; ;2;1;1;1;3;2; ; ;2;2;06;19;2037,52510485205
4650184;1;5;1;10;2;1;7;2016;1;3; ;1;1;1;2; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;2; ;06;19;2037,52510485205
4650187;1;1;1;10;1;1;7;1953;64;1;3;3; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;3;4; ; ;2;4;06;19;760,062168814286
4650187;1;2;1;10;2;2;10;1966;51;2;3;2; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;3;1; ; ;2;1;06;19;760,062168814286
4650187;1;3;1;10;3;2;4;1985;33;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;06;19;760,062168814286
4650187;1;4;1;10;3;2;8;2003;14;4;6;2; ;1;3; ; ;1; ; ;3; ; ;2;1;1;1;4;6; ; ;2;6;06;19;760,062168814286
4650187;1;5;1;10;3;2;6;2007;11;4;6;2; ;1;3; ; ;1; ; ;3; ; ;2;1;1;1;3;3; ; ;2;3;06;19;760,062168814286
4650187;1;6;1;10;6;2;9;1987;30;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;06;19;760,062168814286
