DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011
4650113;1;4;1;70;2;12;40;4; ;2;12;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;120000;400000;2; ;61;61;01;1;1;06;0140;19;1881,50126332998
4650176;1;5;1;70;2;6;40;1; ;2;104;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;45;53;55;1;1;06;5521;19;1936,70635080559
4650192;1;2;1;70;2;30;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;32; ; ;1;2;06; ;19;1054,88048219509
4650205;1;3;1;70;2;52;40;3; ;2;52;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;54;16;52;1;2;06;5239;19;2435,92528983411
4650266;1;1;1;70;2;30;30;8; ;2;200;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;250000;2; ;61;61;01;1;2;06;0140;19;938,880078227358
4650288;1;2;1;70;2;4;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;781242; ; ;45; ; ;1;1;06; ;19;760,062168814286
4650293;1;3;1;70;2;6;16;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;600000; ; ;53; ; ;1;1;06; ;19;2950,42508766968
4650497;1;4;1;70;2;1;48;1; ;2;1;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;782000;782000;2; ;45;85;45;1;1;06;4542;05;1330,94950905892
4650575;1;3;1;70;2;6;48;1; ;2;6;8; ;2;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;980000;2; ;60;60;01;1;1;06;0121;05;2041,55286044359
4650580;1;2;1;70;2;24;48;8; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;782000; ; ;62; ; ;1;2;06; ;05;2868,62100009299
4650640;1;3;1;70;2;28;48;1; ;2;28;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;57;93;1;2;06;9302;05;2041,55286044359
4650642;1;4;1;70;2;2;48;1; ;2;2;1; ;2;2;6; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;45;52;1;1;06;5233;05;3478,93212554113
4650646;1;3;1;70;2;12;48;1; ;2;12;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;450000;787000;2; ;45;45;52;1;1;06;5262;05;3867,48711522293
4650649;1;1;1;70;2;2;48;8; ;2;2;8; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;1;781242;781242;2; ;62;62;01;1;1;06;0121;05;7177,46400902791
4650653;1;2;1;70;2;8;48;1; ;2;8;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;32;45;15;1;1;06;1593;05;4683,56204576361
4650654;1;3;1;70;2;4;48;4; ;2;4;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;1400000;1000000;2; ;39;39;75;1;1;06;7512;05;2041,55286044359
4650654;1;5;1;70;2;24;48;1; ;2;52;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;54;95;1;2;06;9500;05;2041,55286044359
4651783;1;1;1;70;2;2;40;4; ;2;20;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;54;54;95;1;1;06;9500;25;1847,6788098406
