DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;DPTO;fex_c_2011
4645803;1;1;1;80; ;2;1;4;7; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;06;17;840,027203046456
4645803;1;2;1;80; ;2;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;17;840,027203046456
4645804;1;2;1;80; ;2;1;1;9;CAMBIO DE CIUDAD;2; ; ;9; ;2; ;2; ;1;24;390000;2;1;06;17;1301,97321052256
4645805;1;1;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;17;1046,83020718465
4645806;1;2;1;80; ;2;1;1;8; ;2; ; ;2; ;2; ;2; ;1;24;400000;2;1;06;17;945,61646981892
4645806;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;48;781242;2;1;06;17;945,61646981892
4645809;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;17;896,864429981941
4645809;1;4;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;17;896,864429981941
4647073;1;2;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;35;200000; ;1;06;44;635,068515063626
4647074;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;44;468,071496674539
4647078;1;3;1;80; ;2;1;2;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;06;44;335,79438106112
4647079;1;2;1;80; ;2;1;2;7; ;2; ; ;1; ;2; ;2; ;1;30;300000;2;1;06;44;334,209443330636
4647080;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;44;536,666611361063
4647080;1;4;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;44;536,666611361063
