DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;P5220;P5220S1;P6008;P6007;P6007S1;HOGAR;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P4040;REGIS;clase;MES;DPTO;fex_c_2011
4650425;1;1;1;6; ;4;4;5;5;5; ; ; ;40000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2; ;4;2; ;1;5;4;1;2; ;2;2;2; ;2; ;01;2;06;44;627,109490136076
4650426;1;2;1;6; ;4;4;5;5;5; ; ; ;40000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2; ;1;1;1;1;2; ;2;2;2; ;2; ;01;2;06;44;531,379445910738
4650427;1;2;2;2;1;4;4;5;5;5; ; ; ;70000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2; ;3;2; ;1;1;1;2;2; ;2;2;2; ;2; ;01;2;06;44;695,520311023312
4650428;1;2;1;6; ;4;4;5;5;5; ; ; ;40000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;1;2;2; ;2;2;2; ;2; ;01;2;06;44;702,915739618431
4650429;1;1;1;2;1;4;4;5;5;5; ; ; ;80000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;2;2; ;1;1;1;2;2; ;2;2;2; ;2; ;01;2;06;44;712,828210660648
4650430;1;1;1;6; ;4;4;5;5;5; ; ; ;20000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;2;2; ;1;5;4;1;2; ;2;2;2; ;2; ;01;2;06;44;569,617282606959
4650431;1;1;1;6; ;4;4;5;5;5; ; ; ;40000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;5;2; ;1;5;4;1;2; ;2;2;2; ;2; ;01;2;06;44;579,017198694673
4650432;1;2;1;6; ;4;4;5;5;5; ; ; ;60000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;3;2; ;1;1;1;2;2; ;2;2;2; ;2; ;01;2;06;44;744,691960159803
4650433;1;1;1;6; ;4;8;5;5;5; ; ; ;90000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2; ;1;2; ;1;5;4;1;2; ;2;2;2; ;2; ;01;2;06;44;623,833787097452
4650434;1;1;1;6; ;4;8;5;5;5; ; ; ;40000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;4;2; ;1;5;4;1;2; ;2;2;2; ;2; ;01;2;06;44;637,021961178293
4650435;1;1;1;6; ;4;8;5;5;5; ; ; ;70000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;4;2; ;1;5;4;1;2; ;2;2;2; ;2; ;01;2;06;44;416,829779696766
4650436;1;2;2;6; ;4;8;5;5;5; ; ; ;30000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2; ;5;2; ;1;5;4;1;2; ;2;2;2; ;2; ;01;2;06;44;681,063313820043
4650437;1;1;1;6; ;4;8;5;5;5; ; ; ;50000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;1;2; ;1;5;4;1;2; ;2;2;2; ;2; ;01;2;06;44;499,515696411583
4650438;1;2;2;6; ;4;8;5;5;5; ; ; ;40000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;7;2; ;1;5;4;1;2; ;2;2;2; ;2; ;01;2;06;44;762,662308788119
4650439;1;1;1;6; ;4;8;5;5;5; ; ; ;60000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;3;2; ;1;5;4;1;2; ;2;2;2; ;2; ;01;2;06;44;583,068137494326
