DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;DPTO;fex_c_2011
4634702;1;2;1;80;13;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;13;483,555412562647
4634705;1;1;1;80;13;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;06;13;461,740361098595
4634705;1;2;1;80;13;1;1;4;3; ;2; ; ;11; ;2; ;2; ; ; ; ;2;1;06;13;461,740361098595
4634705;2;2;2;80;13;1;1;1;9;EMBARAZO;2; ; ;12;EMBARAZO;2; ;2; ; ; ; ;2;1;06;13;461,740361098595
4634706;1;1;1;80;13;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;13;319,355045310168
4634706;1;2;1;80;13;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;13;319,355045310168
4634709;1;1;1;80;13;1;1;3;5; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;06;13;495,803527868898
4634711;1;2;1;80;13;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;13;447,290801173161
4634713;1;2;1;80;13;1;1;4;3; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;06;13;441,536337850065
4634713;1;4;1;80;13;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;13;441,536337850065
4634714;1;2;1;80;15;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;15;101,249758053214
4634714;1;3;1;80;15;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;15;101,249758053214
4634714;2;2;2;80;15;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;15;101,249758053214
4634714;3;2;3;80;15;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;15;101,249758053214
4634715;1;2;1;80;15;1;1;1;6; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;15;160,455093517311
4634716;1;1;1;80;15;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;15;101,257826992507
4634721;1;2;1;80;15;1;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;06;15;130,430356168627
4634721;2;2;2;80;15;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;15;130,430356168627
4634723;1;2;1;80;15;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;15;102,741180221262
4634726;1;1;1;80;15;1;1;4;5; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;06;15;106,014404806563
4634726;1;2;1;80;15;1;1;4;2; ;2; ; ;2; ;2; ;2; ;1;30;781242;2;1;06;15;106,014404806563
4634728;1;1;1;80;15;1;1;3;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;15;151,488675586256
4634730;1;1;1;80;15;1;1;4;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;06;15;99,0268880361121
4634731;1;3;1;80;15;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;15;124,848169895612
4634732;1;3;1;80;15;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;15;154,277533330655
4634734;1;1;1;80;15;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;06;15;163,541923639138
4634735;1;3;1;80;15;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;15;121,845837461017
4634735;1;4;1;80;15;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;15;121,845837461017
4634737;1;2;1;80;15;1;2; ; ; ; ;2; ; ;.;2; ;2; ;2; ;781242;2;1;06;15;128,57013534473
4634737;1;3;1;80;15;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;15;128,57013534473
4634738;1;1;1;80;15;1;2; ; ; ; ;1;1;2; ;2; ;2; ; ; ; ;2;1;06;15;61,1425831202058
4634738;1;2;1;80;15;1;1;1;8; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;06;15;61,1425831202058
4634738;1;3;1;80;15;1;1;3;2; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;06;15;61,1425831202058
4634739;1;2;1;80;15;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;15;138,323598629149
4634741;1;2;1;80;15;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;15;105,80740507228
4634742;1;1;1;80;15;1;1;3;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;06;15;118,338545010151
4634742;1;2;1;80;15;1;1;1;2; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;06;15;118,338545010151
4634744;1;2;1;80;15;1;1;3;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;15;155,698515703255
4634745;1;2;1;80;15;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;15;88,4324879981738
4634748;1;1;1;80;15;1;1;4;4; ;1; ;1;6; ;2; ;2; ; ; ; ;2;1;06;15;105,80740507228
4634748;1;2;1;80;15;1;1;2;2; ;2; ; ;2; ;2; ;2; ;1;40;781242;2;1;06;15;105,80740507228
4634752;1;3;1;80;15;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;15;140,554537585544
4634758;1;1;1;80;15;1;1;3;5; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;06;15;141,325931063744
4634759;1;1;1;80;15;1;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;15;99,0268880361121
4634762;1;2;1;80;15;1;1;3;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;15;121,582618574279
4634763;1;1;1;80;15;1;1;4;5; ;1; ;2;10; ;3; ;2; ; ; ; ;3;1;06;15;99,0268880361121
4634764;1;1;1;80;15;1;1;4;2; ;2; ; ;2; ;2; ;2; ;1;25;781242;2;1;06;15;94,6100481848298
4634766;1;1;1;80;15;1;1;4;4; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;15;99,0268880361121
4634767;1;1;1;80;15;1;1;2;6; ;1; ;2;2; ;1; ;2; ;2; ;781242;2;1;06;15;61,1425831202058
4634767;1;4;1;80;15;1;1;2;2; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;06;15;61,1425831202058
4634767;1;5;1;80;15;1;2; ; ; ; ;1;1;2; ;2; ;2; ; ; ; ;2;1;06;15;61,1425831202058
4634767;1;6;1;80;15;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;15;61,1425831202058
4634768;1;1;1;80;15;1;1;2;2; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;06;15;144,501158815805
4634771;1;1;1;80;15;1;1;4;5; ;2; ; ;4; ;3; ;2; ; ; ; ;3;1;06;15;92,8493278494561
4634773;1;2;1;80;15;1;1;1;2; ;2; ; ;2; ;2; ;2; ;1;16;781242;2;1;06;15;96,840987141225
4634774;1;3;1;80;15;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;15;71,9547268300417
4634774;1;4;1;80;15;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;15;71,9547268300417
4634775;1;2;1;80;15;1;1;2;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;06;15;121,845837461017
4634775;1;3;1;80;15;1;2; ; ; ; ;1;1;2; ;2; ;2; ;1;40;1500000;2;1;06;15;121,845837461017
4634775;1;4;1;80;15;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;15;121,845837461017
4634778;1;2;1;80;15;1;1;1;8; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;06;15;138,323598629149
4634782;1;3;1;80;15;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;15;140,554537585544
4634786;1;1;1;80;15;1;1;3;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;06;15;141,325931063744
4634789;1;1;1;80;17;1;1;2;2; ;2; ; ;2; ;2; ;2; ;2; ;781242;2;1;06;17;188,627266658942
4634790;1;1;1;80;17;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;17;171,32574800485
4634791;1;3;1;80;17;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;17;230,272759187129
4634792;1;1;1;80;17;1;1;4;3; ;1; ;4;9; ;3; ;2; ; ; ; ;3;1;06;17;157,346815847321
4634792;1;2;1;80;17;1;1;4;3; ;2; ; ;9; ;3; ;2; ; ; ; ;3;1;06;17;157,346815847321
4634793;1;1;1;80;17;1;1;4;3; ;2; ; ;9; ;1; ;2; ; ; ; ;2;1;06;17;180,552228564344
4634794;1;1;1;80;17;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;17;164,385281403018
4634796;1;1;1;80;17;1;1;3;2; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;06;17;188,627266658942
4634797;1;1;1;80;17;1;1;1;8; ;2; ; ;11; ;1;4;2; ; ; ; ;1;1;06;17;163,351199172936
4634797;1;3;1;80;17;1;1;1;8; ;2; ; ;2; ;1; ;2; ; ; ; ;2;1;06;17;163,351199172936
4634797;1;4;1;80;17;1;1;2;2; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;06;17;163,351199172936
4634798;1;1;1;80;17;1;1;2;2; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;06;17;212,183694100945
4634799;1;3;1;80;17;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;17;150,661675644182
4634799;1;4;1;80;17;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;17;150,661675644182
4634800;1;1;1;80;17;1;2; ; ; ; ;1;1;2; ;2; ;2; ; ; ; ;2;1;06;17;164,385281403018
4634801;1;1;1;80;17;1;1;2;2; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;06;17;164,385281403018
4634802;1;1;1;80;17;1;1;1;9;PORQUE SE FUE DEL PAIS;2; ; ;8; ;2; ;2; ; ; ; ;2;1;06;17;176,974315669088
4634803;1;3;1;80;17;1;1;2;2; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;06;17;223,447564048097
4634805;1;1;1;80;17;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;17;176,974315669088
4634806;1;2;1;80;17;1;1;4;3; ;2; ; ;9; ;1; ;2; ; ; ; ;2;1;06;17;217,613331044019
4634806;1;3;1;80;17;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;17;217,613331044019
4634808;1;1;1;80;17;1;1;3;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;06;17;182,318776535006
4634808;1;2;1;80;17;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;06;17;182,318776535006
4634809;1;3;1;80;17;1;1;3;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;06;17;187,21173341326
4634811;1;4;1;80;17;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;17;163,250709910252
4634812;1;1;1;80;17;1;1;1;8; ;2; ; ;8; ;3; ;2; ; ; ; ;3;1;06;17;182,318776535006
4634812;1;2;1;80;17;1;1;4;7; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;17;182,318776535006
4634813;1;1;1;80;17;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;17;158,661859830318
4634813;1;2;1;80;17;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;17;158,661859830318
4634814;1;2;1;80;17;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;17;164,006320696236
4634814;1;3;1;80;17;1;1;4;5; ;2; ; ;10; ;2; ;2; ; ; ; ;2;1;06;17;164,006320696236
4634816;1;2;1;80;17;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;17;145,768718765929
4634817;1;2;1;80;17;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;17;213,375836594041
